model,triplet_id,domain,concept,layer,dist_asym,dist_lit,dist_sym,dist_scram
TinyLlama-1.1B,3,Relational,En (縁),6,0.049541652,0.0015875101,0.0094973445,0.054558277
TinyLlama-1.1B,3,Relational,En (縁),7,0.07468176,0.0023779273,0.012957573,0.09576392
TinyLlama-1.1B,3,Relational,En (縁),8,0.09723508,0.0034770966,0.020721555,0.13158995
TinyLlama-1.1B,3,Relational,En (縁),9,0.11285514,0.0037127137,0.022561312,0.15530056
TinyLlama-1.1B,3,Relational,En (縁),10,0.1403898,0.0045921206,0.030484438,0.20137423
TinyLlama-1.1B,3,Relational,En (縁),11,0.16021097,0.0056861043,0.03663671,0.23118174
TinyLlama-1.1B,3,Relational,En (縁),12,0.18533772,0.006258309,0.0470019,0.2845137
TinyLlama-1.1B,3,Relational,En (縁),13,0.1971075,0.008004665,0.059190154,0.32785767
TinyLlama-1.1B,3,Relational,En (縁),14,0.21666795,0.009318292,0.06965262,0.36213696
TinyLlama-1.1B,3,Relational,En (縁),15,0.23793036,0.010212302,0.08280468,0.37595278
TinyLlama-1.1B,3,Relational,En (縁),16,0.2817722,0.012545824,0.12356508,0.41563958
TinyLlama-1.1B,3,Relational,En (縁),17,0.3060673,0.013308167,0.14586079,0.44390333
TinyLlama-1.1B,3,Relational,En (縁),18,0.34157246,0.015615761,0.20867854,0.46548498
TinyLlama-1.1B,3,Relational,En (縁),19,0.46525365,0.015708625,0.28654867,0.53403723
TinyLlama-1.1B,3,Relational,En (縁),20,0.45008284,0.015765965,0.38181263,0.5003241
TinyLlama-1.1B,3,Relational,En (縁),21,0.6226311,0.016110718,0.5245831,0.6906482
TinyLlama-1.1B,3,Relational,En (縁),22,0.8397417,0.025138259,0.66626316,0.8717754
TinyLlama-1.1B,4,Relational,Amaeru (甘える),0,0.90853876,0.2602749,0.7612674,0.90853876
TinyLlama-1.1B,4,Relational,Amaeru (甘える),1,0.22427458,0.03663987,0.13811564,0.22701532
TinyLlama-1.1B,4,Relational,Amaeru (甘える),2,0.19802564,0.034210443,0.12818539,0.19997764
TinyLlama-1.1B,4,Relational,Amaeru (甘える),3,0.009359598,0.0010420084,0.0019233227,0.009010017
TinyLlama-1.1B,4,Relational,Amaeru (甘える),4,0.016789436,0.0016286373,0.0034155846,0.015723586
TinyLlama-1.1B,4,Relational,Amaeru (甘える),5,0.027760863,0.002988875,0.0058678985,0.02648449
TinyLlama-1.1B,4,Relational,Amaeru (甘える),6,0.04311943,0.004226029,0.008867264,0.04417193
TinyLlama-1.1B,4,Relational,Amaeru (甘える),7,0.06322312,0.005608082,0.011155307,0.072297394
TinyLlama-1.1B,4,Relational,Amaeru (甘える),8,0.08291811,0.009480596,0.016129017,0.1007458
TinyLlama-1.1B,4,Relational,Amaeru (甘える),9,0.101337135,0.010831714,0.018410027,0.12366879
TinyLlama-1.1B,4,Relational,Amaeru (甘える),10,0.12976635,0.015330136,0.02420479,0.16354734
TinyLlama-1.1B,4,Relational,Amaeru (甘える),11,0.14998084,0.019504428,0.028820932,0.18262029
TinyLlama-1.1B,4,Relational,Amaeru (甘える),12,0.17537224,0.021638572,0.036747575,0.22138691
TinyLlama-1.1B,4,Relational,Amaeru (甘える),13,0.19165981,0.025818765,0.044368327,0.26272058
TinyLlama-1.1B,4,Relational,Amaeru (甘える),14,0.21299607,0.031549633,0.05427134,0.29716063
TinyLlama-1.1B,4,Relational,Amaeru (甘える),15,0.23518091,0.037156403,0.06536651,0.31887048
